source_id,title,path,exists_local,url,source_type,document_class,primary_use,note
mca_annex_d1_alignment_maps,MCA-Nepal Annex D-1 Alignment Maps,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/mca/mca_annex_d1_alignment_maps.pdf,True,https://mcanp.org/Content/GetPdf?filePath=%2FMCANP%2FEIAReports%2FAnnexD_1_Alignment-Maps.pdf&section=EIAReports&guid=90d56f40-0b72-4cb0-9e2b-fa8eeaba72d3,pdf,alignment_atlas,trace_grade,193-page A3 alignment atlas for the MCA central 400 kV corridor. Exact sheet ranges still need source-by-source confirmation.
world_bank_hddtl_rap,World Bank Hetauda-Dhalkebar-Duhabi RAP,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/world_bank/world_bank_hddtl_rap.pdf,True,https://documents1.worldbank.org/curated/en/522221483681808545/pdf/IPP476-v2-Box396344B-PUBLIC-disclosed-1-5-17.pdf,pdf,rap,trace_grade,Best public route-map packet for HDDTL; includes overview map figure and detailed corridor description.
rpgcl_transmission_network_map_revised1,RPGCL Nepal Transmission Network Map Revised 2021,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/rpgcl/nepal_transmission_network_map_revised1.pdf,True,https://www.rpgcl.com/storage/listies/November2021/nepal-tranmission-network-map-revised1.pdf,pdf,geospatial_vector_map,trace_grade,Official ArcMap geospatial PDF with extractable vector transmission linework and layer metadata. This is now the main extraction source for the four traced corridor outputs committed in the repo.
mca_project_summary_report,MCA-Nepal Project Summary Report,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/mca/mca_project_summary_report.pdf,True,https://mcanp.org/Content/GetPdf?filePath=%2FMCANP%2FFeasibilityStudiesReports%2FVolume-8-Project-Summary-Report.pdf&section=FeasibilityStudiesReports&guid=02f6a408-fd36-4732-a580-0ae2af8b35ae,pdf,feasibility_summary,naming_reference,Useful for reconciling older Naubise-based nomenclature against the current Ratmate-centered MCA corridor naming.
moewri_ipsdp_exec_summary_2025,MoEWRI IPSDP Executive Summary 2025,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/moewri/moewri_ipsdp_exec_summary_2025.pdf,True,https://giwmscdnone.gov.np/media/pdf_upload/01%20Executive%20Summary%20Project%20on%20Integrated%20Power%20System%20Development%20Plan%20in%20Nepal%202025.06.09_g8l5n0c.pdf,pdf,master_plan_summary,reference_only,"Useful for current and future interconnection framing, not detailed route tracing."
adb_sasec_operational_plan_update,ADB SASEC Operational Plan 2016-2025 Update,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/adb_sasec_operational_plan_update.pdf,True,https://www.adb.org/sites/default/files/institutional-document/551061/sasec-operational-plan-2016-2025-update.pdf,pdf,regional_plan,planning_reference,"Useful for corridor grouping and MCA project framing, not exact tracing."
jica_ipsdp_report_part2,JICA IPSDP Report Part 2,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/jica/jica_ipsdp_report_part2.pdf,True,https://openjicareport.jica.go.jp/pdf/12387999_02.pdf,pdf,master_plan_report,basin_grouping_reference,"Good for corridor family grouping and planning context, not exact routing."
nea_annual_report_2024_2025,NEA Annual Report FY 2024/25,/Users/hi/projects/nepalEnergy/data/raw/projects_storage/nea_annual_report_2024_2025.pdf,True,,pdf,annual_report,status_reference,Best local source for current operational and under-construction line lists; not a route atlas.
nea_transmission_annual_book_2077,NEA Transmission Annual Book 2077 (FY 2019/20),/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/nea_transmission_annual_book_2077.pdf,True,https://neasite.dryicesolutions.net/uploads/shares/annual_report/Annual_book_2077.pdf,pdf,annual_book,manual_route_basis,"Recovered from the live NEA dryicesolutions mirror on 2026-04-18. Useful for Solu corridor narrative evidence, especially the Tingla substation page and the Maruwa rerouting note."
nea_bharatpur_bardaghat_sia,NEA Bharatpur-Bardaghat 220 kV Transmission Line SIA,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/nea_bharatpur_bardaghat_sia.pdf,False,https://www.nea.org.np/admin/assets/uploads/supportive_docs/SIA-Bharatpur-Bardghat.pdf,pdf,environmental_study,manual_route_basis,"Official NEA SIA source identified during the HBB repair pass. The live NEA file endpoint rejected direct download in this environment, but the indexed text states the Bharatpur-Bardaghat alignment, affected VDC corridor, and 73.5 km route length."
nea_marsyangdi_rap,NEA Marsyangdi Corridor RAP / route packet,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/nea_marsyangdi_rap.pdf,True,https://neasite.dryicesolutions.net/uploads/shares/publication/17560727.pdf,pdf,rap,trace_grade,Recovered from the live NEA dryicesolutions mirror on 2026-04-18. This is the main route-grade packet for Udipur-Markichowk-Bharatpur.
nea_kabeli_iee,NEA Kabeli Corridor IEE,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/nea_kabeli_iee.pdf,True,https://web.archive.org/web/20120216232653/http://www.nea.org.np/images/supportive_docs/Initial%20Environmental%20Examination%20_IEE_%20Study%20Vol-I%20of%20Kabeli%20Corridor%20TL%20Project.pdf,pdf,iee,trace_grade,Recovered from Wayback on 2026-04-18 using the original NEA /images/supportive_docs path. This is now the primary route-grade source for the Kabeli corridor family.
nea_kabeli_smef,NEA Kabeli Corridor SMEF,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/nea_kabeli_smef.pdf,True,https://web.archive.org/web/20120216232653/http://www.nea.org.np/images/supportive_docs/SOCIAL%20MANAGEMENT%20and%20ENTITLEMENT%20FRAMEWORK%20-%20Kabeli%20TL.pdf,pdf,smef,supporting_alignment_context,"Recovered from Wayback on 2026-04-18. Useful for project description, location, substation references, and impact-area framing around the Kabeli line."
nea_marsyangdi_rap_upper,NEA Marsyangdi Corridor RAP (Manang-Khudi-Udipur),/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/nea_marsyangdi_rap_upper.pdf,True,https://neasite.dryicesolutions.net/uploads/shares/publication/52182611.pdf,pdf,rap,trace_grade,Recovered from the live NEA dryicesolutions mirror on 2026-04-18. Companion route-grade source for the upper Marsyangdi section.
eib_marsyangdi_cia,EIB Marsyangdi Corridor CIA,/Users/hi/projects/nepalEnergy/data/raw/corridor_tracing/nea/eib_marsyangdi_cia.pdf,True,https://www.eib.org/attachments/registers/168770873.pdf,pdf,cia,supporting_alignment_context,"Companion source recovered on 2026-04-18. Useful for updated corridor context, cumulative impact framing, and segment lengths."
