fiscal_year,flow_direction,bs_month_name,fiscal_month_order,gwh,reported_total_gwh,source_note
2079_80,EXPORT_GWh,Shrawan,1,251.5584,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Bhadra,2,255.6696,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Ashwin,3,280.9730,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Kartik,4,202.2535,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Mangsir,5,87.8037,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Poush,6,0.3867,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Magh,7,0.0000,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Falgun,8,0.0000,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Chaitra,9,0.0000,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Baishakh,10,0.0000,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Jestha,11,24.2048,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,EXPORT_GWh,Ashadh,12,230.0673,1332.9170,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Shrawan,1,255.5382,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Bhadra,2,304.5849,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Ashwin,3,417.8284,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Kartik,4,380.0270,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Mangsir,5,114.1699,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Poush,6,0.4349,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Magh,7,0.0384,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Falgun,8,0.1009,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Chaitra,9,0.3187,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Baishakh,10,0.3071,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Jestha,11,67.9286,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2080_81,EXPORT_GWh,Ashadh,12,401.3571,1942.6340,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Shrawan,1,497.8630,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Bhadra,2,552.3316,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Ashwin,3,358.2048,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Kartik,4,289.7869,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Mangsir,5,66.2297,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Poush,6,0.1100,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Magh,7,0.0000,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Falgun,8,0.0000,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Chaitra,9,1.0960,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Baishakh,10,0.0000,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Jestha,11,78.9363,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2081_82,EXPORT_GWh,Ashadh,12,487.1778,2331.7360,NEA annual report FY 2024/25 comparison of exported energy to India
2079_80,IMPORT_GWh,Shrawan,1,25.4615,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Bhadra,2,20.8563,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Ashwin,3,6.1199,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Kartik,4,0.5194,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Mangsir,5,18.6871,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Poush,6,202.8805,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Magh,7,310.9881,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Falgun,8,318.4711,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Chaitra,9,335.5374,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Baishakh,10,395.7281,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Jestha,11,184.4009,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2079_80,IMPORT_GWh,Ashadh,12,34.8757,1854.5261,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Shrawan,1,10.3748,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Bhadra,2,1.1828,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Ashwin,3,0.6333,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Kartik,4,0.0898,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Mangsir,5,25.6803,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Poush,6,162.7409,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Magh,7,324.0075,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Falgun,8,395.4887,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Chaitra,9,348.7461,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Baishakh,10,356.9380,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Jestha,11,187.8506,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2080_81,IMPORT_GWh,Ashadh,12,18.7939,1832.5267,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Shrawan,1,0.0000,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Bhadra,2,2.4524,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Ashwin,3,3.4053,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Kartik,4,0.0000,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Mangsir,5,29.7911,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Poush,6,172.3379,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Magh,7,295.8489,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Falgun,8,357.3589,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Chaitra,9,362.2620,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Baishakh,10,354.4904,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Jestha,11,123.5147,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
2081_82,IMPORT_GWh,Ashadh,12,10.0657,1711.5272,NEA annual report FY 2024/25 comparison of imported energy from India
