interconnection_id,name,voltage_kv,status,nepal_node,india_node,connection_scope,endpoint_quality,trace_confidence,source_id,source_url,length_km,status_alignment,public_decision,next_action
dhalkebar_muzaffarpur,Dhalkebar-Muzaffarpur,400,Operational,Dhalkebar,Muzaffarpur,endpoint_connector,defensible endpoint connector,medium,pib_lok_sabha_2026_04_02,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2248339&lang=1&reg=3,106.773,status aligned,"default-visible, operational endpoint connector",Keep endpoint connector; do not draw full India-side route without a route source.
kataiya_kushaha,Kataiya-Kushaha,132,Operational,Kushaha,Kataiya,gateway_stub,gateway stub only,low,pib_lok_sabha_2026_04_02,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2248339&lang=1&reg=3,22.202,status aligned,"default-visible, operational point plus conservative stub",Find source-backed India-side substation coordinates before drawing more than a stub.
raxaul_parwanipur,Raxaul-Parwanipur,132,Operational,Parwanipur,Raxaul,gateway_stub,gateway stub only,low,pib_lok_sabha_2026_04_02,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2248339&lang=1&reg=3,11.546,status aligned,"default-visible, operational point plus conservative stub",Find source-backed India-side substation coordinates before drawing more than a stub.
nautanwa_mainahiya,New Nautanwa-Mainahiya,132,Operational,Mainahiya,New Nautanwa / Sunauli,endpoint_connector,defensible endpoint connector,medium,pib_lok_sabha_2026_04_02,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2248339&lang=1&reg=3,10.058,status aligned,"default-visible, operational endpoint connector",Keep endpoint connector; do not draw full India-side route without a route source.
tanakpur_mahendranagar,Tanakpur-Mahendranagar,132,Operational,Mahendranagar / Gaddachauki,Tanakpur,gateway_stub,gateway stub only,low,pib_lok_sabha_2026_04_02,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2248339&lang=1&reg=3,8.543,status aligned,"default-visible, operational point plus conservative stub",Find source-backed India-side substation coordinates before drawing more than a stub.
nepalgunj_nanpara,Nepalgunj-Nanpara,132,Under construction,Nepalgunj / Jamunaha,Nanpara,gateway_stub,gateway stub only,low,pib_lok_sabha_2026_04_02,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2248339&lang=1&reg=3,31.664,status aligned,"default-visible, non-operational dashed/faint",Find source-backed India-side substation coordinates before drawing more than a stub.
gorakhpur_new_butwal,Gorakhpur-New Butwal,400,Under construction,New Butwal / Belahiya border corridor,Gorakhpur,gateway_stub,gateway stub only,low,mcc_fy2025_annual_report,https://www.mcc.gov/resources/doc/annual-report-2025/,17.999,status aligned,"default-visible, non-operational dashed/faint",Find source-backed India-side substation coordinates before drawing more than a stub.
inaruwa_purnea,Inaruwa-Purnea,400,Implementation setup,Inaruwa,New Purnea / Purnia,endpoint_connector,defensible endpoint connector,medium,cea_nep_volume_ii,https://cea.nic.in/wp-content/uploads/notification/2024/10/National_Electricity_Plan_Volume_II_Transmission.pdf,98.985,status aligned,"default-visible, non-operational dashed/faint",Keep endpoint connector; do not draw full India-side route without a route source.
lamki_bareilly,Lamki-Bareilly,400,Implementation setup,Lamki / Dododhara,Bareilly,endpoint_connector,defensible endpoint connector,medium,cea_nep_volume_ii,https://cea.nic.in/wp-content/uploads/notification/2024/10/National_Electricity_Plan_Volume_II_Transmission.pdf,171.654,status aligned,"default-visible, non-operational dashed/faint",Keep endpoint connector; do not draw full India-side route without a route source.
chameliya_jauljibi,Chameliya-Jauljibi,220,Planned,Chameliya,Jauljibi,endpoint_connector,defensible endpoint connector,medium,cea_nep_volume_ii,https://cea.nic.in/wp-content/uploads/notification/2024/10/National_Electricity_Plan_Volume_II_Transmission.pdf,30.161,status aligned,"default-visible, non-operational dashed/faint",Keep endpoint connector; do not draw full India-side route without a route source.
