scenario_id,label,horizon_year,solar_mwp,bess_gwh,demand_cagr_pct,demand_dec_feb_gwh,hydro_dec_feb_gwh,solar_dec_feb_gwh,bess_dec_feb_gwh,demand_shaping_dec_feb_gwh,gap_remaining_gwh,post_2035_assumption
baseline_fy2025,FY 2024/25 Baseline,2025,142,0,0.0,2129.0,1551.0,27.5,0.0,0.0,550.5,False
current_1gw,Current + 1 GW Solar,2025,1000,0,0.0,2129.0,1551.0,193.3,0.0,0.0,384.7,False
current_3gw,Current + 3 GW Solar,2025,3000,0,0.0,2129.0,1551.0,579.8,0.0,0.0,75.7,False
current_5gw,Current + 5 GW Solar,2025,5000,0,0.0,2129.0,1551.0,966.4,0.0,0.0,0.0,False
current_5gw_bess,Current + 5 GW Solar + BESS,2025,5000,2,0.0,2129.0,1551.0,966.4,1.0,0.0,0.0,False
2030_baseline,2030 Projected (no new solar),2030,142,0,8.0,3128.2,1925.7,27.5,0.0,0.0,1175.1,False
2030_17gw,2030 + 1.7 GW Solar,2030,1700,0,8.0,3128.2,1925.7,328.5,0.0,0.0,874.0,False
2035_full,2035 Full Portfolio (excl. Budhigandaki),2035,5000,2,7.0,4188.1,3246.5,966.4,1.0,400.0,0.0,False
2035_solar_only,2035 Solar Only (no new storage),2035,5000,0,7.0,4188.1,2411.9,966.4,0.0,0.0,809.8,False
2035_no_solar,2035 Storage Only (no new solar),2035,142,0,7.0,4188.1,3246.5,27.5,0.0,0.0,914.0,False
2035_no_budhigandaki,2035 Excl. Budhigandaki (explicit),2035,5000,2,7.0,4188.1,3246.5,966.4,1.0,400.0,0.0,False
2035_with_budhigandaki,2035 Incl. Budhigandaki (aspirational),2035,5000,2,7.0,4188.1,4186.5,966.4,1.0,400.0,0.0,True
